Columns,Description
TCQI_R_Total,TCQI-R Total Score (Thought Control Questionnaire Insomnia)
TCQIR_Aggressive_supression,Aggressive Suppression TCQI-R (Thought Control Questionnaire Insomnia)
TCQIR_cognitive_distraction,Cognitive Distraction / Suppression TCQI-R (Thought Control Questionnaire Insomnia)
TCQIR_reappraisal,Reappraisal TCQI-R (Thought Control Questionnaire Insomnia)
TCQIR_behavtioral_distraction,Behavioral Distraction / Suppression TCQI-R (Thought Control Questionnaire Insomnia)
TCQIR_social_avoidance,Social Avoidance TCQI-R (Thought Control Questionnaire Insomnia)
TCQIR_worry,Worry TCQI-R (Thought Control Questionnaire Insomnia)
ACE_tot,ACE Total (The Adverse Childhood Experiences )
asq_home,Stress of Home Life ASQ (Adolescent Stress Questionnaire)
asq_school,Stress of School Performance ASQ (Adolescent Stress Questionnaire)
asq_attendance,Stress of School Attendance ASQ (Adolescent Stress Questionnaire)
asq_romantic,Stress of Romantic Relationships ASQ (Adolescent Stress Questionnaire)
asq_peer,Stress of Peer Pressure ASQ (Adolescent Stress Questionnaire)
asq_teacher,Stress of Teacher Interaction ASQ (Adolescent Stress Questionnaire)
asq_future,Stress of Future Uncertainty ASQ (Adolescent Stress Questionnaire)
asq_leisure,Stress of School / Leisure Conflict ASQ (Adolescent Stress Questionnaire)
asq_finance,Stress of Financial Pressure ASQ (Adolescent Stress Questionnaire)
asq_responsibility,Stress of Emerging Adult Responsibility ASQ (Adolescent Stress Questionnaire)
casq_total,Total CASQ Score (Cleveland Adolescent Sleepiness Questionnaire)
casq_sleepy,Sleepiness Statements CASQ (Cleveland Adolescent Sleepiness Questionnaire)
casq_alert,Alertness Statements CASQ (Cleveland Adolescent Sleepiness Questionnaire)
cope_growth,Positive Reinterpretation & Growth COPE (Coping skills)
cope_disengage_mental,Mental Disengagement COPE  (Coping skills)
cope_emotions,Focus on & Venting of Emotions COPE  (Coping skills)
cope_socialsupp_instr,Seeking Social Support - Instrumental COPE  (Coping skills)
cope_active,Active Coping COPE  (Coping skills)
cope_denial,Denial COPE  (Coping skills)
cope_religion,Turning to Religion COPE  (Coping skills)
cope_humor,Humor COPE  (Coping skills)
cope_disengage_emo,Behavioral Disengagement COPE (Coping skills)
cope_restraint,Restraint Coping COPE  (Coping skills)
cope_socialsupp_emo,Seeking Social Support - Emotional COPE (Coping skills)
cope_disengage_su,Substance Use
cope_substance_use,Substance Use COPE (Coping skills)
cope_acccept,Acceptance COPE (Coping skills)
cope_suppression,Suppression of Competing Activities COPE (Coping skills)
cope_planning,Planning COPE (Coping skills)
ders_nonaccpetance,DERS Nonacceptance of Emotional Responses (NONACCEPTANCE) (Difficulties in Emotion Regulation Scale)
ders_total,DERS total score (Difficulties in Emotion Regulation Scale)
ders_goals,DERS Difficulties Engaging in Goal-Directed Behavior (GOALS) (Difficulties in Emotion Regulation Scale)
ders_impulse,DERS Impulse control difficulties (IMPULSE) (Difficulties in Emotion Regulation Scale)
ders_awareness,DERS Lack of Emotional Awareness (AWARENESS) (Difficulties in Emotion Regulation Scale)
ders_strategies,DERS Limited Access to Emotion Regulation Strategies (STRATEGIES) (Difficulties in Emotion Regulation Scale)
ders_clarity,DERS Lack of Emotional Clarity (CLARITY) (Difficulties in Emotion Regulation Scale)
